Angulo real;Encoder;Real ajustado
65,85;0;0
76,7;13,32;10,85
82,7;19,44;16,85
88,35;29,2;22,5
94,4;34,98;28,55
101,35;42,43;35,5
108,8;54,76;42,95
118,3;63,52;52,45
125,35;70,6;59,5
138;81,65;72,15
