Angulo real;Encoder;Real ajustado
62,8;0;0
69,6;7,94;6,8
76,85;16,31;14,05
81,05;20,57;18,25
85,4;28,03;22,6
91,35;33,36;28,55
96,35;37,49;33,55
101,2;43,01;38,4
109,3;53,92;46,5
116,5;59,49;53,7
125,4;68,6;62,6
136,35;80,58;73,55
